Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+02A2F	⨯	\Times	Vector Or Cross Product
U+02A30	⨰	\dottimes	Multiplication Sign With Dot Above
U+02A31	⨱	\timesbar	Multiplication Sign With Underbar
U+02A32	⨲	\btimes	Semidirect Product With Bottom Closed
U+02A33	⨳	\smashtimes	Smash Product
U+02A34	⨴	\otimeslhrim	Multiplication Sign In Left Half Circle
U+02A35	⨵	\otimesrhrim	Multiplication Sign In Right Half Circle
U+02A36	⨶	\otimeshat	Circled Multiplication Sign With Circumflex Accent
U+02A37	⨷	\Otimes	Multiplication Sign In Double Circle
U+02A38	⨸	\odiv	Circled Division Sign
U+02A39	⨹	\triangleplus	Plus Sign In Triangle
U+02A3A	⨺	\triangleminus	Minus Sign In Triangle
U+02A3B	⨻	\triangletimes	Multiplication Sign In Triangle
U+02A3C	⨼	\intprod	Interior Product
U+02A3D	⨽	\intprodr	Righthand Interior Product
U+02A3F	⨿	\amalg	Amalgamation Or Coproduct
U+02A40	⩀	\capdot	Intersection With Dot
U+02A41	⩁	\uminus	Union With Minus Sign
U+02A42	⩂	\barcup	Union With Overbar
U+02A43	⩃	\barcap	Intersection With Overbar
U+02A44	⩄	\capwedge	Intersection With Logical And
U+02A45	⩅	\cupvee	Union With Logical Or
U+02A4A	⩊	\twocups	Union Beside And Joined With Union
U+02A4B	⩋	\twocaps	Intersection Beside And Joined With Intersection
U+02A4C	⩌	\closedvarcup	Closed Union With Serifs
U+02A4D	⩍	\closedvarcap	Closed Intersection With Serifs
U+02A4E	⩎	\Sqcap	Double Square Intersection
U+02A4F	⩏	\Sqcup	Double Square Union
U+02A50	⩐	\closedvarcupsmashprod	Closed Union With Serifs And Smash Product
U+02A51	⩑	\wedgeodot	Logical And With Dot Above
U+02A52	⩒	\veeodot	Logical Or With Dot Above
U+02A53	⩓	\And	Double Logical And
U+02A54	⩔	\Or	Double Logical Or
U+02A55	⩕	\wedgeonwedge	Two Intersecting Logical And
U+02A56	⩖	\ElOr	Two Intersecting Logical Or
U+02A57	⩗	\bigslopedvee	Sloping Large Or
U+02A58	⩘	\bigslopedwedge	Sloping Large And
U+02A5A	⩚	\wedgemidvert	Logical And With Middle Stem
U+02A5B	⩛	\veemidvert	Logical Or With Middle Stem
U+02A5C	⩜	\midbarwedge	Logical And With Horizontal Dash
U+02A5D	⩝	\midbarvee	Logical Or With Horizontal Dash
U+02A5E	⩞	\perspcorrespond	Logical And With Double Overbar
U+02A5F	⩟	\minhat	Logical And With Underbar
U+02A60	⩠	\wedgedoublebar	Logical And With Double Underbar
U+02A61	⩡	\varveebar	Small Vee With Underbar
U+02A62	⩢	\doublebarvee	Logical Or With Double Overbar
U+02A63	⩣	\veedoublebar	Logical Or With Double Underbar
U+02A66	⩦	\eqdot	Equals Sign With Dot Below
U+02A67	⩧	\dotequiv	Identical With Dot Above
U+02A6A	⩪	\dotsim	Tilde Operator With Dot Above
U+02A6B	⩫	\simrdots	Tilde Operator With Rising Dots
U+02A6C	⩬	\simminussim	Similar Minus Similar
U+02A6D	⩭	\congdot	Congruent With Dot Above
U+02A6E	⩮	\asteq	Equals With Asterisk
U+02A6F	⩯	\hatapprox	Almost Equal To With Circumflex Accent
U+02A70	⩰	\approxeqq	Approximately Equal Or Equal To
U+02A71	⩱	\eqqplus	Equals Sign Above Plus Sign
U+02A72	⩲	\pluseqq	Plus Sign Above Equals Sign
U+02A73	⩳	\eqqsim	Equals Sign Above Tilde Operator
U+02A74	⩴	\Coloneq	Double Colon Equal
U+02A75	⩵	\Equal	Two Consecutive Equals Signs
U+02A76	⩶	\eqeqeq	Three Consecutive Equals Signs
U+02A77	⩷	\ddotseq	Equals Sign With Two Dots Above And Two Dots Below
U+02A78	⩸	\equivDD	Equivalent With Four Dots Above
U+02A79	⩹	\ltcir	Less-Than With Circle Inside
U+02A7A	⩺	\gtcir	Greater-Than With Circle Inside
U+02A7B	⩻	\ltquest	Less-Than With Question Mark Above
U+02A7C	⩼	\gtquest	Greater-Than With Question Mark Above
U+02A7D	⩽	\leqslant	Less-Than Or Slanted Equal To
U+02A7D + U+00338	⩽̸	\nleqslant	Less-Than Or Slanted Equal To + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02A7E	⩾	\geqslant	Greater-Than Or Slanted Equal To
U+02A7E + U+00338	⩾̸	\ngeqslant	Greater-Than Or Slanted Equal To + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02A7F	⩿	\lesdot	Less-Than Or Slanted Equal To With Dot Inside
U+02A80	⪀	\gesdot	Greater-Than Or Slanted Equal To With Dot Inside
U+02A81	⪁	\lesdoto	Less-Than Or Slanted Equal To With Dot Above
U+02A82	⪂	\gesdoto	Greater-Than Or Slanted Equal To With Dot Above
U+02A83	⪃	\lesdotor	Less-Than Or Slanted Equal To With Dot Above Right
U+02A84	⪄	\gesdotol	Greater-Than Or Slanted Equal To With Dot Above Left
U+02A85	⪅	\lessapprox	Less-Than Or Approximate
U+02A86	⪆	\gtrapprox	Greater-Than Or Approximate
U+02A87	⪇	\lneq	Less-Than And Single-Line Not Equal To
U+02A88	⪈	\gneq	Greater-Than And Single-Line Not Equal To
U+02A89	⪉	\lnapprox	Less-Than And Not Approximate
U+02A8A	⪊	\gnapprox	Greater-Than And Not Approximate
U+02A8B	⪋	\lesseqqgtr	Less-Than Above Double-Line Equal Above Greater-Than
U+02A8C	⪌	\gtreqqless	Greater-Than Above Double-Line Equal Above Less-Than
U+02A8D	⪍	\lsime	Less-Than Above Similar Or Equal
U+02A8E	⪎	\gsime	Greater-Than Above Similar Or Equal
U+02A8F	⪏	\lsimg	Less-Than Above Similar Above Greater-Than
U+02A90	⪐	\gsiml	Greater-Than Above Similar Above Less-Than
U+02A91	⪑	\lgE	Less-Than Above Greater-Than Above Double-Line Equal
U+02A92	⪒	\glE	Greater-Than Above Less-Than Above Double-Line Equal
U+02A93	⪓	\lesges	Less-Than Above Slanted Equal Above Greater-Than Above Slanted Equal
U+02A94	⪔	\gesles	Greater-Than Above Slanted Equal Above Less-Than Above Slanted Equal
U+02A95	⪕	\eqslantless	Slanted Equal To Or Less-Than
U+02A96	⪖	\eqslantgtr	Slanted Equal To Or Greater-Than
U+02A97	⪗	\elsdot	Slanted Equal To Or Less-Than With Dot Inside
U+02A98	⪘	\egsdot	Slanted Equal To Or Greater-Than With Dot Inside
U+02A99	⪙	\eqqless	Double-Line Equal To Or Less-Than
U+02A9A	⪚	\eqqgtr	Double-Line Equal To Or Greater-Than
U+02A9B	⪛	\eqqslantless	Double-Line Slanted Equal To Or Less-Than
U+02A9C	⪜	\eqqslantgtr	Double-Line Slanted Equal To Or Greater-Than
U+02A9D	⪝	\simless	Similar Or Less-Than
U+02A9E	⪞	\simgtr	Similar Or Greater-Than
U+02A9F	⪟	\simlE	Similar Above Less-Than Above Equals Sign
U+02AA0	⪠	\simgE	Similar Above Greater-Than Above Equals Sign
U+02AA1	⪡	\NestedLessLess	Double Nested Less-Than
U+02AA1 + U+00338	⪡̸	\NotNestedLessLess	Double Nested Less-Than + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AA2	⪢	\NestedGreaterGreater	Double Nested Greater-Than
U+02AA2 + U+00338	⪢̸	\NotNestedGreaterGreater	Double Nested Greater-Than + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AA3	⪣	\partialmeetcontraction	Double Nested Less-Than With Underbar
U+02AA4	⪤	\glj	Greater-Than Overlapping Less-Than
U+02AA5	⪥	\gla	Greater-Than Beside Less-Than
U+02AA6	⪦	\ltcc	Less-Than Closed By Curve
U+02AA7	⪧	\gtcc	Greater-Than Closed By Curve
U+02AA8	⪨	\lescc	Less-Than Closed By Curve Above Slanted Equal
U+02AA9	⪩	\gescc	Greater-Than Closed By Curve Above Slanted Equal
U+02AAA	⪪	\smt	Smaller Than
U+02AAB	⪫	\lat	Larger Than
U+02AAC	⪬	\smte	Smaller Than Or Equal To
U+02AAD	⪭	\late	Larger Than Or Equal To
U+02AAE	⪮	\bumpeqq	Equals Sign With Bumpy Above
U+02AAF	⪯	\preceq	Precedes Above Single-Line Equals Sign
U+02AAF + U+00338	⪯̸	\npreceq	Precedes Above Single-Line Equals Sign + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AB0	⪰	\succeq	Succeeds Above Single-Line Equals Sign
U+02AB0 + U+00338	⪰̸	\nsucceq	Succeeds Above Single-Line Equals Sign + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AB1	⪱	\precneq	Precedes Above Single-Line Not Equal To
U+02AB2	⪲	\succneq	Succeeds Above Single-Line Not Equal To
U+02AB3	⪳	\preceqq	Precedes Above Equals Sign
U+02AB4	⪴	\succeqq	Succeeds Above Equals Sign
U+02AB5	⪵	\precneqq	Precedes Above Not Equal To
U+02AB6	⪶	\succneqq	Succeeds Above Not Equal To
U+02AB7	⪷	\precapprox	Precedes Above Almost Equal To
U+02AB8	⪸	\succapprox	Succeeds Above Almost Equal To
U+02AB9	⪹	\precnapprox	Precedes Above Not Almost Equal To
U+02ABA	⪺	\succnapprox	Succeeds Above Not Almost Equal To
U+02ABB	⪻	\Prec	Double Precedes
U+02ABC	⪼	\Succ	Double Succeeds
U+02ABD	⪽	\subsetdot	Subset With Dot
U+02ABE	⪾	\supsetdot	Superset With Dot
U+02ABF	⪿	\subsetplus	Subset With Plus Sign Below
U+02AC0	⫀	\supsetplus	Superset With Plus Sign Below
U+02AC1	⫁	\submult	Subset With Multiplication Sign Below
U+02AC2	⫂	\supmult	Superset With Multiplication Sign Below
U+02AC3	⫃	\subedot	Subset Of Or Equal To With Dot Above
U+02AC4	⫄	\supedot	Superset Of Or Equal To With Dot Above
U+02AC5	⫅	\subseteqq	Subset Of Above Equals Sign
U+02AC5 + U+00338	⫅̸	\nsubseteqq	Subset Of Above Equals Sign + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AC6	⫆	\supseteqq	Superset Of Above Equals Sign
U+02AC6 + U+00338	⫆̸	\nsupseteqq	Superset Of Above Equals Sign + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02AC7	⫇	\subsim	Subset Of Above Tilde Operator
U+02AC8	⫈	\supsim	Superset Of Above Tilde Operator
U+02AC9	⫉	\subsetapprox	Subset Of Above Almost Equal To
U+02ACA	⫊	\supsetapprox	Superset Of Above Almost Equal To
U+02ACB	⫋	\subsetneqq	Subset Of Above Not Equal To
U+02ACC	⫌	\supsetneqq	Superset Of Above Not Equal To
U+02ACD	⫍	\lsqhook	Square Left Open Box Operator
U+02ACE	⫎	\rsqhook	Square Right Open Box Operator
U+02ACF	⫏	\csub	Closed Subset
U+02AD0	⫐	\csup	Closed Superset
U+02AD1	⫑	\csube	Closed Subset Or Equal To
U+02AD2	⫒	\csupe	Closed Superset Or Equal To
U+02AD3	⫓	\subsup	Subset Above Superset
U+02AD4	⫔	\supsub	Superset Above Subset
U+02AD5	⫕	\subsub	Subset Above Subset
U+02AD6	⫖	\supsup	Superset Above Superset
U+02AD7	⫗	\suphsub	Superset Beside Subset
U+02AD8	⫘	\supdsub	Superset Beside And Joined By Dash With Subset
U+02AD9	⫙	\forkv	Element Of Opening Downwards
U+02ADB	⫛	\mlcp	Transversal Intersection
U+02ADC	⫝̸	\forks	Forking
U+02ADD	⫝	\forksnot	Nonforking
U+02AE3	⫣	\dashV	Double Vertical Bar Left Turnstile
U+02AE4	⫤	\Dashv	Vertical Bar Double Left Turnstile
U+02AF4	⫴	\interleave	Triple Vertical Bar Binary Relation
U+02AF6	⫶	\tdcol	Triple Colon Operator
U+02AF7	⫷	\lllnest	Triple Nested Less-Than
U+02AF8	⫸	\gggnest	Triple Nested Greater-Than
U+02AF9	⫹	\leqqslant	Double-Line Slanted Less-Than Or Equal To
U+02AFA	⫺	\geqqslant	Double-Line Slanted Greater-Than Or Equal To
U+02B05	⬅	\:arrow_left:	Leftwards Black Arrow
U+02B06	⬆	\:arrow_up:	Upwards Black Arrow
U+02B07	⬇	\:arrow_down:	Downwards Black Arrow
U+02B12	⬒	\squaretopblack	Square With Top Half Black
U+02B13	⬓	\squarebotblack	Square With Bottom Half Black
U+02B14	⬔	\squareurblack	Square With Upper Right Diagonal Half Black
U+02B15	⬕	\squarellblack	Square With Lower Left Diagonal Half Black
U+02B16	⬖	\diamondleftblack	Diamond With Left Half Black
U+02B17	⬗	\diamondrightblack	Diamond With Right Half Black
U+02B18	⬘	\diamondtopblack	Diamond With Top Half Black
U+02B19	⬙	\diamondbotblack	Diamond With Bottom Half Black
U+02B1A	⬚	\dottedsquare	Dotted Square
U+02B1B	⬛	\lgblksquare, \:black_large_square:	Black Large Square
U+02B1C	⬜	\lgwhtsquare, \:white_large_square:	White Large Square
U+02B1D	⬝	\vysmblksquare	Black Very Small Square
U+02B1E	⬞	\vysmwhtsquare	White Very Small Square
U+02B1F	⬟	\pentagonblack	Black Pentagon
U+02B20	⬠	\pentagon	White Pentagon
U+02B21	⬡	\varhexagon	White Hexagon
U+02B22	⬢	\varhexagonblack	Black Hexagon
U+02B23	⬣	\hexagonblack	Horizontal Black Hexagon
U+02B24	⬤	\lgblkcircle	Black Large Circle
U+02B25	⬥	\mdblkdiamond	Black Medium Diamond
U+02B26	⬦	\mdwhtdiamond	White Medium Diamond
U+02B27	⬧	\mdblklozenge	Black Medium Lozenge
U+02B28	⬨	\mdwhtlozenge	White Medium Lozenge
U+02B29	⬩	\smblkdiamond	Black Small Diamond
U+02B2A	⬪	\smblklozenge	Black Small Lozenge
U+02B2B	⬫	\smwhtlozenge	White Small Lozenge
U+02B2C	⬬	\blkhorzoval	Black Horizontal Ellipse
U+02B2D	⬭	\whthorzoval	White Horizontal Ellipse
U+02B2E	⬮	\blkvertoval	Black Vertical Ellipse
U+02B2F	⬯	\whtvertoval	White Vertical Ellipse
U+02B30	⬰	\circleonleftarrow	Left Arrow With Small Circle
U+02B31	⬱	\leftthreearrows	Three Leftwards Arrows
U+02B32	⬲	\leftarrowonoplus	Left Arrow With Circled Plus
U+02B33	⬳	\longleftsquigarrow	Long Leftwards Squiggle Arrow
U+02B34	⬴	\nvtwoheadleftarrow	Leftwards Two-Headed Arrow With Vertical Stroke
U+02B35	⬵	\nVtwoheadleftarrow	Leftwards Two-Headed Arrow With Double Vertical Stroke
U+02B36	⬶	\twoheadmapsfrom	Leftwards Two-Headed Arrow From Bar
U+02B37	⬷	\twoheadleftdbkarrow	Leftwards Two-Headed Triple Dash Arrow
U+02B38	⬸	\leftdotarrow	Leftwards Arrow With Dotted Stem
U+02B39	⬹	\nvleftarrowtail	Leftwards Arrow With Tail With Vertical Stroke
U+02B3A	⬺	\nVleftarrowtail	Leftwards Arrow With Tail With Double Vertical Stroke
U+02B3B	⬻	\twoheadleftarrowtail	Leftwards Two-Headed Arrow With Tail
U+02B3C	⬼	\nvtwoheadleftarrowtail	Leftwards Two-Headed Arrow With Tail With Vertical Stroke
U+02B3D	⬽	\nVtwoheadleftarrowtail	Leftwards Two-Headed Arrow With Tail With Double Vertical Stroke
U+02B3E	⬾	\leftarrowx	Leftwards Arrow Through X
U+02B3F	⬿	\leftcurvedarrow	Wave Arrow Pointing Directly Left
U+02B40	⭀	\equalleftarrow	Equals Sign Above Leftwards Arrow
U+02B41	⭁	\bsimilarleftarrow	Reverse Tilde Operator Above Leftwards Arrow
U+02B42	⭂	\leftarrowbackapprox	Leftwards Arrow Above Reverse Almost Equal To
U+02B43	⭃	\rightarrowgtr	Rightwards Arrow Through Greater-Than
U+02B44	⭄	\rightarrowsupset	Rightwards Arrow Through Superset
U+02B45	⭅	\LLeftarrow	Leftwards Quadruple Arrow
U+02B46	⭆	\RRightarrow	Rightwards Quadruple Arrow
U+02B47	⭇	\bsimilarrightarrow	Reverse Tilde Operator Above Rightwards Arrow
U+02B48	⭈	\rightarrowbackapprox	Rightwards Arrow Above Reverse Almost Equal To
U+02B49	⭉	\similarleftarrow	Tilde Operator Above Leftwards Arrow
U+02B4A	⭊	\leftarrowapprox	Leftwards Arrow Above Almost Equal To
U+02B4B	⭋	\leftarrowbsimilar	Leftwards Arrow Above Reverse Tilde Operator
U+02B4C	⭌	\rightarrowbsimilar	Rightwards Arrow Above Reverse Tilde Operator
U+02B50	⭐	\medwhitestar, \:star:	White Medium Star
U+02B51	⭑	\medblackstar	Black Small Star
U+02B52	⭒	\smwhitestar	White Small Star
U+02B53	⭓	\rightpentagonblack	Black Right-Pointing Pentagon
U+02B54	⭔	\rightpentagon	White Right-Pointing Pentagon
U+02B55	⭕	\:o:	Heavy Large Circle
U+02C7C	ⱼ	\_j	Latin Subscript Small Letter J
U+02C7D	ⱽ	\^V	Modifier Letter Capital V
U+03012	〒	\postalmark	Postal Mark
U+03030	〰	\:wavy_dash:	Wavy Dash
U+0303D	〽	\:part_alternation_mark:	Part Alternation Mark
U+03297	㊗	\:congratulations:	Circled Ideograph Congratulation
U+03299	㊙	\:secret:	Circled Ideograph Secret
U+0A71B	ꜛ	\^uparrow	Modifier Letter Raised Up Arrow
U+0A71C	ꜜ	\^downarrow	Modifier Letter Raised Down Arrow
U+0A71D	ꜝ	\^!	Modifier Letter Raised Exclamation Mark
U+1D400	𝐀	\bfA	Mathematical Bold Capital A
U+1D401	𝐁	\bfB	Mathematical Bold Capital B
U+1D402	𝐂	\bfC	Mathematical Bold Capital C
U+1D403	𝐃	\bfD	Mathematical Bold Capital D
U+1D404	𝐄	\bfE	Mathematical Bold Capital E
U+1D405	𝐅	\bfF	Mathematical Bold Capital F
U+1D406	𝐆	\bfG	Mathematical Bold Capital G
U+1D407	𝐇	\bfH	Mathematical Bold Capital H
U+1D408	𝐈	\bfI	Mathematical Bold Capital I
U+1D409	𝐉	\bfJ	Mathematical Bold Capital J
U+1D40A	𝐊	\bfK	Mathematical Bold Capital K
U+1D40B	𝐋	\bfL	Mathematical Bold Capital L
U+1D40C	𝐌	\bfM	Mathematical Bold Capital M
U+1D40D	𝐍	\bfN	Mathematical Bold Capital N
U+1D40E	𝐎	\bfO	Mathematical Bold Capital O
U+1D40F	𝐏	\bfP	Mathematical Bold Capital P
U+1D410	𝐐	\bfQ	Mathematical Bold Capital Q
U+1D411	𝐑	\bfR	Mathematical Bold Capital R
U+1D412	𝐒	\bfS	Mathematical Bold Capital S
U+1D413	𝐓	\bfT	Mathematical Bold Capital T
U+1D414	𝐔	\bfU	Mathematical Bold Capital U
U+1D415	𝐕	\bfV	Mathematical Bold Capital V
U+1D416	𝐖	\bfW	Mathematical Bold Capital W
U+1D417	𝐗	\bfX	Mathematical Bold Capital X
U+1D418	𝐘	\bfY	Mathematical Bold Capital Y
U+1D419	𝐙	\bfZ	Mathematical Bold Capital Z
U+1D41A	𝐚	\bfa	Mathematical Bold Small A
U+1D41B	𝐛	\bfb	Mathematical Bold Small B
U+1D41C	𝐜	\bfc	Mathematical Bold Small C
U+1D41D	𝐝	\bfd	Mathematical Bold Small D
U+1D41E	𝐞	\bfe	Mathematical Bold Small E
U+1D41F	𝐟	\bff	Mathematical Bold Small F
U+1D420	𝐠	\bfg	Mathematical Bold Small G
U+1D421	𝐡	\bfh	Mathematical Bold Small H
U+1D422	𝐢	\bfi	Mathematical Bold Small I
U+1D423	𝐣	\bfj	Mathematical Bold Small J
U+1D424	𝐤	\bfk	Mathematical Bold Small K
U+1D425	𝐥	\bfl	Mathematical Bold Small L
U+1D426	𝐦	\bfm	Mathematical Bold Small M
U+1D427	𝐧	\bfn	Mathematical Bold Small N
U+1D428	𝐨	\bfo	Mathematical Bold Small O
U+1D429	𝐩	\bfp	Mathematical Bold Small P
U+1D42A	𝐪	\bfq	Mathematical Bold Small Q
U+1D42B	𝐫	\bfr	Mathematical Bold Small R
U+1D42C	𝐬	\bfs	Mathematical Bold Small S
U+1D42D	𝐭	\bft	Mathematical Bold Small T
U+1D42E	𝐮	\bfu	Mathematical Bold Small U
U+1D42F	𝐯	\bfv	Mathematical Bold Small V
U+1D430	𝐰	\bfw	Mathematical Bold Small W
U+1D431	𝐱	\bfx	Mathematical Bold Small X
U+1D432	𝐲	\bfy	Mathematical Bold Small Y
U+1D433	𝐳	\bfz	Mathematical Bold Small Z
U+1D434	𝐴	\itA	Mathematical Italic Capital A
U+1D435	𝐵	\itB	Mathematical Italic Capital B
U+1D436	𝐶	\itC	Mathematical Italic Capital C
U+1D437	𝐷	\itD	Mathematical Italic Capital D
U+1D438	𝐸	\itE	Mathematical Italic Capital E
U+1D439	𝐹	\itF	Mathematical Italic Capital F
U+1D43A	𝐺	\itG	Mathematical Italic Capital G
U+1D43B	𝐻	\itH	Mathematical Italic Capital H
U+1D43C	𝐼	\itI	Mathematical Italic Capital I
U+1D43D	𝐽	\itJ	Mathematical Italic Capital J
U+1D43E	𝐾	\itK	Mathematical Italic Capital K
U+1D43F	𝐿	\itL	Mathematical Italic Capital L
U+1D440	𝑀	\itM	Mathematical Italic Capital M
U+1D441	𝑁	\itN	Mathematical Italic Capital N
U+1D442	𝑂	\itO	Mathematical Italic Capital O
U+1D443	𝑃	\itP	Mathematical Italic Capital P
U+1D444	𝑄	\itQ	Mathematical Italic Capital Q
U+1D445	𝑅	\itR	Mathematical Italic Capital R
U+1D446	𝑆	\itS	Mathematical Italic Capital S
U+1D447	𝑇	\itT	Mathematical Italic Capital T
U+1D448	𝑈	\itU	Mathematical Italic Capital U
U+1D449	𝑉	\itV	Mathematical Italic Capital V
U+1D44A	𝑊	\itW	Mathematical Italic Capital W
U+1D44B	𝑋	\itX	Mathematical Italic Capital X
U+1D44C	𝑌	\itY	Mathematical Italic Capital Y
U+1D44D	𝑍	\itZ	Mathematical Italic Capital Z
U+1D44E	𝑎	\ita	Mathematical Italic Small A
U+1D44F	𝑏	\itb	Mathematical Italic Small B
U+1D450	𝑐	\itc	Mathematical Italic Small C
U+1D451	𝑑	\itd	Mathematical Italic Small D
U+1D452	𝑒	\ite	Mathematical Italic Small E
U+1D453	𝑓	\itf	Mathematical Italic Small F
U+1D454	𝑔	\itg	Mathematical Italic Small G
U+1D456	𝑖	\iti	Mathematical Italic Small I
U+1D457	𝑗	\itj	Mathematical Italic Small J
U+1D458	𝑘	\itk	Mathematical Italic Small K
U+1D459	𝑙	\itl	Mathematical Italic Small L
U+1D45A	𝑚	\itm	Mathematical Italic Small M
U+1D45B	𝑛	\itn	Mathematical Italic Small N
U+1D45C	𝑜	\ito	Mathematical Italic Small O
U+1D45D	𝑝	\itp	Mathematical Italic Small P
U+1D45E	𝑞	\itq	Mathematical Italic Small Q
U+1D45F	𝑟	\itr	Mathematical Italic Small R
U+1D460	𝑠	\its	Mathematical Italic Small S
U+1D461	𝑡	\itt	Mathematical Italic Small T
U+1D462	𝑢	\itu	Mathematical Italic Small U
U+1D463	𝑣	\itv	Mathematical Italic Small V
U+1D464	𝑤	\itw	Mathematical Italic Small W
U+1D465	𝑥	\itx	Mathematical Italic Small X
U+1D466	𝑦	\ity	Mathematical Italic Small Y
U+1D467	𝑧	\itz	Mathematical Italic Small Z
U+1D468	𝑨	\biA	Mathematical Bold Italic Capital A
U+1D469	𝑩	\biB	Mathematical Bold Italic Capital B
U+1D46A	𝑪	\biC	Mathematical Bold Italic Capital C
U+1D46B	𝑫	\biD	Mathematical Bold Italic Capital D
U+1D46C	𝑬	\biE	Mathematical Bold Italic Capital E
U+1D46D	𝑭	\biF	Mathematical Bold Italic Capital F
U+1D46E	𝑮	\biG	Mathematical Bold Italic Capital G
U+1D46F	𝑯	\biH	Mathematical Bold Italic Capital H
U+1D470	𝑰	\biI	Mathematical Bold Italic Capital I
U+1D471	𝑱	\biJ	Mathematical Bold Italic Capital J
U+1D472	𝑲	\biK	Mathematical Bold Italic Capital K
U+1D473	𝑳	\biL	Mathematical Bold Italic Capital L
U+1D474	𝑴	\biM	Mathematical Bold Italic Capital M
U+1D475	𝑵	\biN	Mathematical Bold Italic Capital N
U+1D476	𝑶	\biO	Mathematical Bold Italic Capital O
U+1D477	𝑷	\biP	Mathematical Bold Italic Capital P
U+1D478	𝑸	\biQ	Mathematical Bold Italic Capital Q
U+1D479	𝑹	\biR	Mathematical Bold Italic Capital R
U+1D47A	𝑺	\biS	Mathematical Bold Italic Capital S
U+1D47B	𝑻	\biT	Mathematical Bold Italic Capital T
U+1D47C	𝑼	\biU	Mathematical Bold Italic Capital U
U+1D47D	𝑽	\biV	Mathematical Bold Italic Capital V
U+1D47E	𝑾	\biW	Mathematical Bold Italic Capital W
U+1D47F	𝑿	\biX	Mathematical Bold Italic Capital X
U+1D480	𝒀	\biY	Mathematical Bold Italic Capital Y
U+1D481	𝒁	\biZ	Mathematical Bold Italic Capital Z
U+1D482	𝒂	\bia	Mathematical Bold Italic Small A
U+1D483	𝒃	\bib	Mathematical Bold Italic Small B
U+1D484	𝒄	\bic	Mathematical Bold Italic Small C
U+1D485	𝒅	\bid	Mathematical Bold Italic Small D
U+1D486	𝒆	\bie	Mathematical Bold Italic Small E
U+1D487	𝒇	\bif	Mathematical Bold Italic Small F
U+1D488	𝒈	\big	Mathematical Bold Italic Small G
U+1D489	𝒉	\bih	Mathematical Bold Italic Small H
U+1D48A	𝒊	\bii	Mathematical Bold Italic Small I
U+1D48B	𝒋	\bij	Mathematical Bold Italic Small J
U+1D48C	𝒌	\bik	Mathematical Bold Italic Small K
U+1D48D	𝒍	\bil	Mathematical Bold Italic Small L
U+1D48E	𝒎	\bim	Mathematical Bold Italic Small M
U+1D48F	𝒏	\bin	Mathematical Bold Italic Small N
U+1D490	𝒐	\bio	Mathematical Bold Italic Small O
U+1D491	𝒑	\bip	Mathematical Bold Italic Small P
U+1D492	𝒒	\biq	Mathematical Bold Italic Small Q
U+1D493	𝒓	\bir	Mathematical Bold Italic Small R
U+1D494	𝒔	\bis	Mathematical Bold Italic Small S
U+1D495	𝒕	\bit	Mathematical Bold Italic Small T
U+1D496	𝒖	\biu	Mathematical Bold Italic Small U
U+1D497	𝒗	\biv	Mathematical Bold Italic Small V
U+1D498	𝒘	\biw	Mathematical Bold Italic Small W
U+1D499	𝒙	\bix	Mathematical Bold Italic Small X
U+1D49A	𝒚	\biy	Mathematical Bold Italic Small Y
U+1D49B	𝒛	\biz	Mathematical Bold Italic Small Z
U+1D49C	𝒜	\scrA	Mathematical Script Capital A
U+1D49E	𝒞	\scrC	Mathematical Script Capital C
U+1D49F	𝒟	\scrD	Mathematical Script Capital D
U+1D4A2	𝒢	\scrG	Mathematical Script Capital G
U+1D4A5	𝒥	\scrJ	Mathematical Script Capital J
U+1D4A6	𝒦	\scrK	Mathematical Script Capital K
U+1D4A9	𝒩	\scrN	Mathematical Script Capital N
U+1D4AA	𝒪	\scrO	Mathematical Script Capital O
U+1D4AB	𝒫	\scrP	Mathematical Script Capital P
U+1D4AC	𝒬	\scrQ	Mathematical Script Capital Q
U+1D4AE	𝒮	\scrS	Mathematical Script Capital S
U+1D4AF	𝒯	\scrT	Mathematical Script Capital T
U+1D4B0	𝒰	\scrU	Mathematical Script Capital U
U+1D4B1	𝒱	\scrV	Mathematical Script Capital V
U+1D4B2	𝒲	\scrW	Mathematical Script Capital W
U+1D4B3	𝒳	\scrX	Mathematical Script Capital X
U+1D4B4	𝒴	\scrY	Mathematical Script Capital Y
U+1D4B5	𝒵	\scrZ	Mathematical Script Capital Z
U+1D4B6	𝒶	\scra	Mathematical Script Small A
U+1D4B7	𝒷	\scrb	Mathematical Script Small B
U+1D4B8	𝒸	\scrc	Mathematical Script Small C
U+1D4B9	𝒹	\scrd	Mathematical Script Small D
U+1D4BB	𝒻	\scrf	Mathematical Script Small F
U+1D4BD	𝒽	\scrh	Mathematical Script Small H
U+1D4BE	𝒾	\scri	Mathematical Script Small I
